AIRLINE,ORIGIN_AIRPORT,DESTINATION_AIRPORT,DATE,WEEK,DEPARTURE_DELAY,TAXI_IN,TAXI_OUT,WHEELS_OFF,SCHEDULED_DEPARTURE,DEPARTURE_TIME
WN,AUS,MDW,22-12-2015,Tuesday,-3,21,10,677,670,667
OO,DCA,ORD,25-03-2015,Wednesday,-3,10,13,1136,1126,1123
AA,DFW,ORD,20-05-2015,Wednesday,-4,5,9,785,780,776
DL,LAX,ATL,26-08-2015,Wednesday,0,11,14,824,810,810
OO,DTW,FWA,25-09-2015,Friday,-7,5,14,757,750,743
WN,OAK,LAX,04-08-2015,Tuesday,7,32,8,880,865,872
AA,DCA,DFW,27-06-2015,Saturday,-5,9,27,1041,1019,1014
UA,EWR,LAS,01-06-2015,Monday,53,6,43,1262,1166,1219
WN,SAN,BWI,13-08-2015,Thursday,-1,7,21,430,410,409
DL,LAX,CMH,21-05-2015,Thursday,-1,6,17,731,715,714
WN,SEA,OAK,16-02-2015,Monday,-5,5,12,492,485,480
OO,FWA,ORD,25-12-2015,Friday,-4,11,18,689,675,671
AA,DFW,CLT,24-08-2015,Monday,-1,6,33,972,940,939
UA,SFO,DEN,04-05-2015,Monday,22,8,19,555,514,536
MQ,DFW,CRP,16-06-2015,Tuesday,55,3,12,1112,1045,1100
DL,ATL,PWM,06-01-2015,Tuesday,0,5,17,1257,1240,1240
MQ,CMI,ORD,29-03-2015,Sunday,-7,14,48,661,620,613
B6,SYR,MCO,12-02-2015,Thursday,0,8,37,1117,1080,1080
EV,CLT,EWR,10-07-2015,Friday,113,8,20,498,365,478
DL,SLC,ANC,16-06-2015,Tuesday,-6,5,16,1229,1219,1213
AS,PDX,ANC,13-06-2015,Saturday,-1,4,11,1385,1375,1374
OO,SBA,SFO,10-08-2015,Monday,31,3,27,803,745,776
AA,LAX,DFW,16-11-2015,Monday,-4,10,14,385,375,371
B6,EWR,PBI,10-04-2015,Friday,-6,3,29,699,676,670
NK,DEN,MSP,10-09-2015,Thursday,-1,40,9,975,967,966
US,MCO,CLT,28-05-2015,Thursday,-6,10,13,937,930,924
WN,RSW,BWI,28-11-2015,Saturday,-2,6,11,944,935,933
MQ,PIT,ORD,04-03-2015,Wednesday,-9,44,15,735,729,720
WN,SJC,PDX,07-08-2015,Friday,39,3,12,736,685,724
AS,BRW,ANC,07-12-2015,Monday,-7,5,6,1144,1145,1138
EV,MLU,DFW,14-07-2015,Tuesday,-6,18,8,1077,1075,1069
EV,MDW,DTW,11-05-2015,Monday,1,7,9,575,565,566
MQ,JFK,CMH,10-07-2015,Friday,-8,8,40,962,930,922
UA,IAH,MCO,23-06-2015,Tuesday,0,7,12,682,670,670
DL,BOS,ATL,19-04-2015,Sunday,1,7,13,899,885,886
